timestamp,chisel_pink_1_x,chisel_pink_1_y,chisel_pink_2_x,chisel_pink_2_y,hammer_yellow_x,hammer_yellow_y,chisel_pink_1_confidence,chisel_pink_2_confidence,hammer_yellow_confidence,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z
1738061307.4879293,,,,,0,0,476,371,1,,,,,,
1738061307.529177,,,,,0,0,478,365,1,,,,,,
1738061307.5536828,,,,,0,0,476,360,1,,,,,,
1738061307.5842228,,,,,0,0,471,353,1,,,,,,
1738061307.6314566,,,,,0,0,467,351,1,,,,,,
1738061307.6717033,,,,,0,0,469,348,1,,,,,,
1738061307.7235346,,,,,0,0,476,348,1,,,,,,
1738061307.7717557,,,,,0,0,483,346,1,,,,,,
1738061307.8237767,,,,,0,0,492,345,1,,,,,,
1738061307.8718357,,,,,0,0,498,345,1,,,,,,
1738061307.9236119,,,,,0,0,503,342,1,,,,,,
1738061307.9715738,196,263,,,1,0,508,341,1,,,,,,
1738061308.0564053,209,267,193,261,1,1,513,340,1,,,,,,
1738061308.1104946,213,271,,,1,0,514,341,1,,,,,,
1738061308.16347,219,276,,,1,0,513,342,1,,,,,,
1738061308.1928174,219,276,,,1,0,513,342,1,,,,,,
1738061308.2245386,223,278,,,1,0,511,342,1,,,,,,
1738061308.2716956,222,277,,,1,0,509,341,1,,,,,,
1738061308.3242512,222,277,,,1,0,504,338,1,,,,,,
1738061308.3717487,222,277,,,1,0,503,337,1,,,,,,
1738061308.4241152,224,279,,,1,0,501,337,1,,,,,,
1738061308.4720597,225,282,,,1,0,502,338,1,,,,,,
1738061308.5239074,224,283,,,1,0,502,340,1,,,,,,
1738061308.5760868,225,284,,,1,0,503,340,1,,,,,,
1738061308.6235607,225,285,,,1,0,503,340,1,,,,,,
1738061308.6780763,223,285,,,1,0,502,339,1,,,,,,
1738061308.7237298,222,285,,,1,0,501,337,1,,,,,,
1738061308.772024,222,285,,,1,0,500,337,1,,,,,,
1738061308.8237464,217,280,,,1,0,499,337,1,,,,,,
1738061308.8724382,225,279,217,277,1,1,499,338,1,,,,,,
1738061308.925417,216,276,,,1,0,498,337,1,,,,,,
1738061309.0872686,216,284,,,1,0,497,338,1,,,,,,
1738061309.1187718,213,297,,,1,0,497,337,1,,,,,,
1738061309.139662,208,289,,,1,0,495,337,1,,,,,,
1738061309.1885612,,,,,0,0,493,336,1,,,,,,
1738061309.2300832,,,,,0,0,490,335,1,,,,,,
1738061309.2736318,,,,,0,0,490,335,1,,,,,,
1738061309.2952933,,,,,0,0,487,333,1,,,,,,
1738061309.3640907,,,,,0,0,487,333,1,,,,,,
1738061309.3836308,,,,,0,0,485,333,1,,,,,,
1738061309.4236364,,,,,0,0,485,332,1,,,,,,
1738061309.4715352,222,325,,,1,0,486,332,1,,,,,,
1738061309.523924,228,314,,,1,0,485,333,1,,,,,,
1738061309.5716865,236,303,,,1,0,485,333,1,,,,,,
1738061309.6260867,247,296,,,1,0,485,336,1,,,,,,
1738061309.6717677,259,287,,,1,0,485,334,1,,,,,,
1738061309.7236686,272,278,,,1,0,481,332,1,,,,,,
1738061309.7717795,288,273,,,1,0,478,331,1,,,,,,
1738061309.8238788,304,270,,,1,0,474,331,1,,,,,,
1738061309.8919742,320,263,,,1,0,476,332,1,,,,,,
1738061309.92361,341,259,,,1,0,475,333,1,,,,,,
1738061309.9716763,360,263,,,1,0,475,334,1,,,,,,
1738061310.0236697,382,272,,,1,0,475,334,1,,,,,,
1738061310.0760324,400,282,,,1,0,476,335,1,,,,,,
1738061310.157542,413,289,158,137,1,1,477,336,1,,,,,,
1738061310.247754,423,287,,,1,0,477,337,1,,,,,,
1738061310.301169,429,278,173,143,1,1,477,339,1,,,,,,
1738061310.3241384,432,271,178,136,1,1,478,341,1,,,,,,
1738061310.3560553,432,267,183,130,1,1,479,341,1,,,,,,
1738061310.3867612,425,254,182,131,1,1,480,342,1,,,,,,
1738061310.4236717,427,240,171,145,1,1,479,341,1,,,,,,
1738061310.517144,156,161,427,226,1,1,479,341,1,,,,,,
1738061310.5355206,429,216,149,179,1,1,478,341,1,,,,,,
1738061310.6065242,426,211,,,1,0,477,339,1,,,,,,
1738061310.6573617,425,210,140,207,1,1,475,339,1,,,,,,
1738061310.7306597,426,215,144,210,1,1,475,340,1,,,,,,
1738061310.764153,151,200,424,231,1,1,474,340,1,,,,,,
1738061310.8127484,156,183,163,162,1,1,475,341,1,,,,,,
1738061310.8372066,439,257,169,165,1,1,475,340,1,,,,,,
1738061310.8757827,440,268,184,150,1,1,473,341,1,,,,,,
1738061310.9238513,440,278,198,136,1,1,473,341,1,,,,,,
1738061310.9778872,435,287,,,1,0,472,341,1,,,,,,
1738061311.0241897,428,293,,,1,0,473,340,1,,,,,,
1738061311.076017,425,304,,,1,0,471,340,1,,,,,,
1738061311.1236467,417,311,,,1,0,471,341,1,,,,,,
1738061311.1760151,415,312,,,1,0,471,341,1,,,,,,
1738061311.2236583,417,311,,,1,0,470,343,1,,,,,,
1738061311.275852,421,308,,,1,0,471,342,1,,,,,,
1738061311.3271713,425,308,,,1,0,470,343,1,,,,,,
1738061311.3747032,424,296,,,1,0,470,343,1,,,,,,
1738061311.4237888,433,294,,,1,0,469,341,1,,,,,,
1738061311.4759443,443,287,,,1,0,470,341,1,,,,,,
1738061311.5247335,450,277,,,1,0,470,343,1,,,,,,
1738061311.5756636,452,266,,,1,0,469,343,1,,,,,,
1738061311.6246247,223,118,447,254,1,1,469,342,1,,,,,,
1738061311.6757286,210,136,452,247,1,1,469,341,1,,,,,,
1738061311.7237117,198,154,449,241,1,1,469,341,1,,,,,,
1738061311.775774,192,162,452,235,1,1,469,342,1,,,,,,
1738061311.8237886,183,182,457,232,1,1,469,342,1,,,,,,
1738061311.8755553,179,205,180,189,1,1,469,343,1,,,,,,
1738061311.9235747,176,218,437,229,1,1,469,342,1,,,,,,
1738061311.9756649,175,216,174,198,1,1,469,342,1,,,,,,
1738061312.0245717,176,203,176,188,1,1,469,342,1,,,,,,
