step,x,y,segment_length,cumulative_length
165,55,27,1.0,221.14065531047154
166,56,27,1.0,222.14065531047154
167,56,26,1.0,223.14065531047154
168,58,27,2.23606797749979,225.37672328797134
169,58,28,1.0,226.37672328797134
170,57,29,1.4142135623730951,227.79093685034445
171,57,30,1.0,228.79093685034445
172,56,30,1.0,229.79093685034445
173,55,29,1.4142135623730951,231.20515041271756
174,54,28,1.4142135623730951,232.61936397509066
175,52,28,2.0,234.61936397509066
176,51,29,1.4142135623730951,236.03357753746377
177,50,29,1.0,237.03357753746377
178,50,30,1.0,238.03357753746377
179,50,31,1.0,239.03357753746377
180,51,32,1.4142135623730951,240.44779109983688
181,52,31,1.4142135623730951,241.86200466220998
182,52,30,1.0,242.86200466220998
183,53,31,1.4142135623730951,244.2762182245831
184,54,31,1.0,245.2762182245831
185,55,31,1.0,246.2762182245831
186,55,32,1.0,247.2762182245831
187,56,32,1.0,248.2762182245831
188,57,31,1.4142135623730951,249.6904317869562
189,58,30,1.4142135623730951,251.1046453493293
190,54,30,4.0,255.1046453493293
191,54,33,3.0,258.1046453493293
192,55,35,2.23606797749979,260.3407133268291
193,56,34,1.4142135623730951,261.7549268892022
194,57,35,1.4142135623730951,263.1691404515753
195,53,36,4.123105625617661,267.29224607719294
196,52,36,1.0,268.29224607719294
197,49,30,6.708203932499369,275.0004500096923
198,49,28,2.0,277.0004500096923
199,48,28,1.0,278.0004500096923
200,48,27,1.0,279.0004500096923
201,47,27,1.0,280.0004500096923
202,47,28,1.0,281.0004500096923
203,46,28,1.0,282.0004500096923
204,45,28,1.0,283.0004500096923
205,45,27,1.0,284.0004500096923
206,45,26,1.0,285.0004500096923
207,44,25,1.4142135623730951,286.4146635720654
208,43,24,1.4142135623730951,287.8288771344385
209,42,24,1.0,288.8288771344385
210,41,24,1.0,289.8288771344385
211,40,24,1.0,290.8288771344385
212,41,25,1.4142135623730951,292.24309069681163
213,40,26,1.4142135623730951,293.65730425918474
214,39,25,1.4142135623730951,295.07151782155785
215,38,25,1.0,296.07151782155785
216,38,26,1.0,297.07151782155785
217,39,28,2.23606797749979,299.3075857990576
218,40,28,1.0,300.3075857990576
219,41,28,1.0,301.3075857990576
220,42,27,1.4142135623730951,302.7217993614307
221,43,26,1.4142135623730951,304.13601292380383
222,43,29,3.0,307.13601292380383
223,42,29,1.0,308.13601292380383
224,38,29,4.0,312.13601292380383
225,38,30,1.0,313.13601292380383
226,46,24,10.0,323.13601292380383
227,47,24,1.0,324.13601292380383
228,48,24,1.0,325.13601292380383
229,48,25,1.0,326.13601292380383
230,49,25,1.0,327.13601292380383
231,49,24,1.0,328.13601292380383
232,50,25,1.4142135623730951,329.55022648617694
233,51,25,1.0,330.55022648617694
234,51,24,1.0,331.55022648617694
235,52,24,1.0,332.55022648617694
236,44,43,20.615528128088304,353.16575461426527
237,43,44,1.4142135623730951,354.5799681766384
238,43,45,1.0,355.5799681766384
239,44,45,1.0,356.5799681766384
240,43,46,1.4142135623730951,357.9941817390115
241,44,47,1.4142135623730951,359.4083953013846
242,45,47,1.0,360.4083953013846
243,45,46,1.0,361.4083953013846
244,46,47,1.4142135623730951,362.8226088637577
245,47,47,1.0,363.8226088637577
246,48,46,1.4142135623730951,365.2368224261308
247,47,45,1.4142135623730951,366.6510359885039
248,45,44,2.23606797749979,368.8871039660037
249,45,48,4.0,372.8871039660037
250,46,48,1.0,373.8871039660037
251,47,49,1.4142135623730951,375.3013175283768
252,49,50,2.23606797749979,377.53738550587656
253,49,52,2.0,379.53738550587656
254,48,52,1.0,380.53738550587656
255,46,52,2.0,382.53738550587656
256,46,51,1.0,383.53738550587656
257,45,50,1.4142135623730951,384.95159906824966
258,44,50,1.0,385.95159906824966
259,44,51,1.0,386.95159906824966
260,44,52,1.0,387.95159906824966
261,43,52,1.0,388.95159906824966
262,42,51,1.4142135623730951,390.36581263062277
263,43,50,1.4142135623730951,391.7800261929959
264,43,48,2.0,393.7800261929959
265,42,48,1.0,394.7800261929959
266,42,47,1.0,395.7800261929959
267,41,47,1.0,396.7800261929959
268,40,47,1.0,397.7800261929959
269,40,48,1.0,398.7800261929959
270,39,49,1.4142135623730951,400.194239755369
271,40,50,1.4142135623730951,401.6084533177421
272,40,51,1.0,402.6084533177421
273,40,52,1.0,403.6084533177421
274,40,53,1.0,404.6084533177421
275,40,54,1.0,405.6084533177421
276,39,54,1.0,406.6084533177421
277,40,55,1.4142135623730951,408.0226668801152
278,42,55,2.0,410.0226668801152
279,42,54,1.0,411.0226668801152
280,43,54,1.0,412.0226668801152
281,42,53,1.4142135623730951,413.4368804424883
282,41,53,1.0,414.4368804424883
283,39,51,2.8284271247461903,417.2653075672345
284,41,50,2.23606797749979,419.5013755447343
285,44,48,3.605551275463989,423.1069268201983
286,41,45,4.242640687119285,427.34956750731754
287,39,46,2.23606797749979,429.5856354848173
288,38,46,1.0,430.5856354848173
289,38,47,1.0,431.5856354848173
290,42,56,9.848857801796104,441.4344932866134
291,43,56,1.0,442.4344932866134
292,44,56,1.0,443.4344932866134
293,45,56,1.0,444.4344932866134
294,47,56,2.0,446.4344932866134
295,47,55,1.0,447.4344932866134
296,47,54,1.0,448.4344932866134
297,46,54,1.0,449.4344932866134
