step,x,y,segment_length,cumulative_length
356,45,59,2.23606797749979,438.16237366424576
357,42,65,6.708203932499369,444.87057759674514
358,42,66,1.0,445.87057759674514
359,42,67,1.0,446.87057759674514
360,42,68,1.0,447.87057759674514
361,41,69,1.4142135623730951,449.28479115911824
362,40,68,1.4142135623730951,450.69900472149135
363,40,67,1.0,451.69900472149135
364,39,68,1.4142135623730951,453.11321828386446
365,38,68,1.0,454.11321828386446
366,38,69,1.0,455.11321828386446
367,38,70,1.0,456.11321828386446
368,39,70,1.0,457.11321828386446
369,40,70,1.0,458.11321828386446
370,40,72,2.0,460.11321828386446
371,39,72,1.0,461.11321828386446
372,39,74,2.0,463.11321828386446
373,39,75,1.0,464.11321828386446
374,38,75,1.0,465.11321828386446
375,38,74,1.0,466.11321828386446
376,38,76,2.0,468.11321828386446
377,38,77,1.0,469.11321828386446
378,40,76,2.23606797749979,471.3492862613642
379,41,75,1.4142135623730951,472.76349982373733
380,42,74,1.4142135623730951,474.17771338611044
381,43,73,1.4142135623730951,475.59192694848355
382,43,72,1.0,476.59192694848355
383,43,71,1.0,477.59192694848355
384,42,71,1.0,478.59192694848355
385,42,70,1.0,479.59192694848355
386,43,70,1.0,480.59192694848355
387,44,70,1.0,481.59192694848355
388,44,72,2.0,483.59192694848355
389,44,73,1.0,484.59192694848355
390,47,71,3.605551275463989,488.19747822394754
391,52,67,6.4031242374328485,494.6006024613804
392,53,67,1.0,495.6006024613804
393,53,56,11.0,506.6006024613804
394,52,56,1.0,507.6006024613804
395,50,54,2.8284271247461903,510.4290295861266
396,53,53,3.1622776601683795,513.591307246295
397,54,53,1.0,514.591307246295
398,55,53,1.0,515.591307246295
399,54,52,1.4142135623730951,517.005520808668
400,54,51,1.0,518.005520808668
401,58,55,5.656854249492381,523.6623750581605
402,56,44,11.180339887498949,534.8427149456594
403,58,41,3.605551275463989,538.4482662211234
404,58,40,1.0,539.4482662211234
405,57,39,1.4142135623730951,540.8624797834965
406,58,38,1.4142135623730951,542.2766933458696
407,59,38,1.0,543.2766933458696
408,59,36,2.0,545.2766933458696
409,57,37,2.23606797749979,547.5127613233694
410,56,37,1.0,548.5127613233694
411,51,32,7.0710678118654755,555.583829135235
412,51,31,1.0,556.583829135235
413,50,32,1.4142135623730951,557.9980426976081
414,49,33,1.4142135623730951,559.4122562599812
415,48,33,1.0,560.4122562599812
416,47,33,1.0,561.4122562599812
417,46,33,1.0,562.4122562599812
418,46,34,1.0,563.4122562599812
419,45,34,1.0,564.4122562599812
420,45,35,1.0,565.4122562599812
421,45,36,1.0,566.4122562599812
422,46,36,1.0,567.4122562599812
423,47,36,1.0,568.4122562599812
424,47,37,1.0,569.4122562599812
425,47,38,1.0,570.4122562599812
426,47,39,1.0,571.4122562599812
427,46,39,1.0,572.4122562599812
428,45,39,1.0,573.4122562599812
429,44,39,1.0,574.4122562599812
430,43,39,1.0,575.4122562599812
431,43,40,1.0,576.4122562599812
432,44,40,1.0,577.4122562599812
433,45,40,1.0,578.4122562599812
434,45,41,1.0,579.4122562599812
435,46,42,1.4142135623730951,580.8264698223543
436,46,38,4.0,584.8264698223543
437,46,37,1.0,585.8264698223543
438,44,36,2.23606797749979,588.0625377998541
439,43,35,1.4142135623730951,589.4767513622272
440,42,35,1.0,590.4767513622272
441,41,35,1.0,591.4767513622272
442,41,36,1.0,592.4767513622272
443,41,37,1.0,593.4767513622272
444,40,37,1.0,594.4767513622272
445,39,37,1.0,595.4767513622272
446,40,38,1.4142135623730951,596.8909649246003
447,41,38,1.0,597.8909649246003
448,43,37,2.23606797749979,600.1270329021002
449,42,36,1.4142135623730951,601.5412464644733
450,40,34,2.8284271247461903,604.3696735892195
451,40,33,1.0,605.3696735892195
452,41,33,1.0,606.3696735892195
453,41,32,1.0,607.3696735892195
454,42,32,1.0,608.3696735892195
455,43,32,1.0,609.3696735892195
456,44,32,1.0,610.3696735892195
457,44,33,1.0,611.3696735892195
458,44,30,3.0,614.3696735892195
459,45,30,1.0,615.3696735892195
460,45,29,1.0,616.3696735892195
461,45,28,1.0,617.3696735892195
462,45,27,1.0,618.3696735892195
463,44,27,1.0,619.3696735892195
464,43,27,1.0,620.3696735892195
465,43,26,1.0,621.3696735892195
466,43,25,1.0,622.3696735892195
467,42,25,1.0,623.3696735892195
468,41,25,1.0,624.3696735892195
469,41,26,1.0,625.3696735892195
