Timestamp,Color_1_Center_1_X,Color_1_Center_1_Y,Color_1_Center_2_X,Color_1_Center_2_Y,Color_2_Center_1_X,Color_2_Center_1_Y,Color_2_Center_2_X,Color_2_Center_2_Y
1738240960.7434857,,,,,786,425,985,414
1738240960.8028808,,,,,787,430,981,417
1738240960.8552196,,,,,784,431,982,415
1738240961.0020654,,,,,789,430,986,417
1738240961.093388,,,,,790,433,986,417
1738240961.20131,,,,,790,429,986,415
1738240961.2501533,,,,,795,430,991,419
1738240961.3952343,,,,,797,435,993,422
1738240961.5020924,,,,,802,433,998,420
1738240961.549621,,,,,811,435,1006,424
1738240961.605886,,,,,812,431,1007,421
1738240961.661169,,,,,810,430,1007,419
1738240961.7454064,,,,,816,433,1010,424
1738240961.841022,,,,,813,436,1008,425
1738240961.9192452,,,,,810,437,1006,424
1738240961.967531,,,,,811,441,1005,427
1738240962.0468354,,,,,810,441,1005,429
1738240962.1072648,,,,,808,442,1002,429
1738240962.157756,,,,,814,442,1006,431
1738240962.2158296,,,,,813,446,1006,432
1738240962.2626798,,,,,806,443,1002,432
1738240962.3185678,,,,,805,443,1002,433
1738240962.3805711,,,,,803,444,998,433
1738240962.4628797,,,,,799,444,993,432
1738240962.5101473,,,,,801,446,996,435
1738240962.556417,,,,,799,442,995,431
1738240962.6147168,,,,,799,442,995,430
1738240962.676273,,,,,812,428,1005,418
1738240962.7328873,,,,,812,428,1005,418
1738240962.7850242,,,,,810,430,1005,419
1738240962.8380282,,,,,808,429,1002,419
1738240962.8805726,,,,,808,428,1002,419
1738240962.966489,,,,,811,434,1006,421
1738240963.021996,,,,,810,435,1004,425
1738240963.0658593,,,,,810,432,1003,422
1738240963.1318724,,,,,811,433,1004,423
1738240963.1728354,,,,,811,437,1004,426
1738240963.2402143,,,,,810,437,1004,427
1738240963.304756,,,,,809,438,1004,428
1738240963.3473048,,,,,809,441,1004,431
1738240963.4006398,,,,,807,441,1000,428
1738240963.4414513,,,,,806,444,999,432
1738240963.4950902,,,,,806,446,1000,435
1738240963.558603,,,,,807,445,1000,432
1738240963.6430717,,,,,808,443,1001,433
1738240963.7051725,,,,,807,442,1002,432
1738240963.751955,,,,,805,443,998,431
1738240963.8111324,,,,,806,442,1001,430
1738240963.8623428,,,,,807,445,1001,432
1738240963.9127753,,,,,805,441,999,429
1738240963.98203,,,,,802,439,996,428
1738240964.0638733,,,,,807,440,1001,430
1738240964.1423364,,,,,807,443,998,431
1738240964.1966574,,,,,804,441,998,428
1738240964.2825437,,,,,809,439,1002,428
1738240964.3231103,,,,,805,437,998,426
1738240964.4139972,,,,,802,434,995,425
1738240964.480899,,,,,808,432,1001,422
1738240964.5654168,,,,,814,433,1006,426
1738240964.616911,,,,,808,432,1003,422
1738240964.6786387,,,,,,,,
1738240964.7415755,,,,,,,,
1738240964.8082244,,,,,1919,1079,,
1738240964.8331552,,,,,,,,
1738240964.8719258,,,,,,,,
1738240964.873927,,,,,,,,
